"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Percent Population with At Least Bachelor's Degree","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","pbachp","TimeFrame","GeoVintage","Source","Location"
"Zip Code Tabulation Area","85207","AZ","85207","=""85207""","37.97","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85208","AZ","85208","=""85208""","22.45","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85209","AZ","85209","=""85209""","35.30","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85210","AZ","85210","=""85210""","23.90","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85212","AZ","85212","=""85212""","42.37","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85213","AZ","85213","=""85213""","41.26","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85215","AZ","85215","=""85215""","39.48","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85224","AZ","85224","=""85224""","40.52","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85225","AZ","85225","=""85225""","35.51","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85226","AZ","85226","=""85226""","50.55","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85233","AZ","85233","=""85233""","43.36","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85234","AZ","85234","=""85234""","47.54","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85236","AZ","85236","=""85236""","N/A","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85248","AZ","85248","=""85248""","51.75","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85249","AZ","85249","=""85249""","55.63","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85250","AZ","85250","=""85250""","56.72","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85251","AZ","85251","=""85251""","60.73","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85253","AZ","85253","=""85253""","71.85","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85254","AZ","85254","=""85254""","62.40","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85255","AZ","85255","=""85255""","66.89","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85256","AZ","85256","=""85256""","12.42","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85257","AZ","85257","=""85257""","47.78","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85258","AZ","85258","=""85258""","68.15","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85259","AZ","85259","=""85259""","67.21","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85260","AZ","85260","=""85260""","59.32","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85262","AZ","85262","=""85262""","58.30","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85263","AZ","85263","=""85263""","64.63","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85264","AZ","85264","=""85264""","14.66","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85266","AZ","85266","=""85266""","67.24","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85268","AZ","85268","=""85268""","50.39","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85281","AZ","85281","=""85281""","50.07","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85282","AZ","85282","=""85282""","43.71","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85283","AZ","85283","=""85283""","44.47","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85284","AZ","85284","=""85284""","69.69","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85286","AZ","85286","=""85286""","54.79","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85295","AZ","85295","=""85295""","48.61","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85296","AZ","85296","=""85296""","49.31","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85297","AZ","85297","=""85297""","46.62","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85298","AZ","85298","=""85298""","53.47","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85301","AZ","85301","=""85301""","11.30","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85302","AZ","85302","=""85302""","19.75","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85303","AZ","85303","=""85303""","14.40","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85304","AZ","85304","=""85304""","24.83","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85305","AZ","85305","=""85305""","27.52","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85306","AZ","85306","=""85306""","27.79","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85307","AZ","85307","=""85307""","27.44","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85308","AZ","85308","=""85308""","38.59","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85309","AZ","85309","=""85309""","32.76","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85310","AZ","85310","=""85310""","45.30","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85320","AZ","85320","=""85320""","39.09","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85322","AZ","85322","=""85322""","9.92","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85323","AZ","85323","=""85323""","17.57","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85326","AZ","85326","=""85326""","16.75","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85329","AZ","85329","=""85329""","0.00","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85331","AZ","85331","=""85331""","54.52","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85333","AZ","85333","=""85333""","24.10","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85335","AZ","85335","=""85335""","15.76","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85337","AZ","85337","=""85337""","12.84","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85338","AZ","85338","=""85338""","33.19","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85339","AZ","85339","=""85339""","29.96","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85340","AZ","85340","=""85340""","37.40","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85343","AZ","85343","=""85343""","0.00","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85345","AZ","85345","=""85345""","19.15","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85351","AZ","85351","=""85351""","24.91","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85353","AZ","85353","=""85353""","14.53","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85354","AZ","85354","=""85354""","13.70","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85355","AZ","85355","=""85355""","24.68","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85361","AZ","85361","=""85361""","17.75","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85363","AZ","85363","=""85363""","14.43","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85373","AZ","85373","=""85373""","30.93","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85374","AZ","85374","=""85374""","30.53","2020-2024","2020","Census","Maricopa (County, 2022)"
