"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Median Year Built","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","mysb","TimeFrame","GeoVintage","Source","Location"
"Zip Code Tabulation Area","85202","AZ","85202","=""85202""","1979","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85203","AZ","85203","=""85203""","1979","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85204","AZ","85204","=""85204""","1980","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85205","AZ","85205","=""85205""","1986","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85206","AZ","85206","=""85206""","1989","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85207","AZ","85207","=""85207""","2001","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85208","AZ","85208","=""85208""","1990","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85209","AZ","85209","=""85209""","2001","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85210","AZ","85210","=""85210""","1982","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85212","AZ","85212","=""85212""","2011","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85213","AZ","85213","=""85213""","1988","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85215","AZ","85215","=""85215""","1993","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85224","AZ","85224","=""85224""","1989","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85225","AZ","85225","=""85225""","1992","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85226","AZ","85226","=""85226""","1992","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85233","AZ","85233","=""85233""","1994","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85234","AZ","85234","=""85234""","1994","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85236","AZ","85236","=""85236""","N/A","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85248","AZ","85248","=""85248""","1997","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85249","AZ","85249","=""85249""","2006","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85250","AZ","85250","=""85250""","1976","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85251","AZ","85251","=""85251""","1979","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85253","AZ","85253","=""85253""","1987","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85254","AZ","85254","=""85254""","1986","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85255","AZ","85255","=""85255""","2000","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85256","AZ","85256","=""85256""","1988","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85257","AZ","85257","=""85257""","1971","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85258","AZ","85258","=""85258""","1984","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85259","AZ","85259","=""85259""","1995","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85260","AZ","85260","=""85260""","1993","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85262","AZ","85262","=""85262""","2005","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85263","AZ","85263","=""85263""","2002","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85264","AZ","85264","=""85264""","1997","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85266","AZ","85266","=""85266""","2000","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85268","AZ","85268","=""85268""","1994","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85281","AZ","85281","=""85281""","1990","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85282","AZ","85282","=""85282""","1977","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85283","AZ","85283","=""85283""","1982","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85284","AZ","85284","=""85284""","1990","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85286","AZ","85286","=""85286""","2006","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85295","AZ","85295","=""85295""","2007","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85296","AZ","85296","=""85296""","2002","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85297","AZ","85297","=""85297""","2007","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85298","AZ","85298","=""85298""","2009","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85301","AZ","85301","=""85301""","1977","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85302","AZ","85302","=""85302""","1979","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85303","AZ","85303","=""85303""","1992","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85304","AZ","85304","=""85304""","1982","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85305","AZ","85305","=""85305""","2006","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85306","AZ","85306","=""85306""","1982","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85307","AZ","85307","=""85307""","1999","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85308","AZ","85308","=""85308""","1992","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85309","AZ","85309","=""85309""","N/A","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85310","AZ","85310","=""85310""","1995","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85320","AZ","85320","=""85320""","2004","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85322","AZ","85322","=""85322""","2004","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85323","AZ","85323","=""85323""","2004","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85326","AZ","85326","=""85326""","2007","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85329","AZ","85329","=""85329""","1965","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85331","AZ","85331","=""85331""","1999","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85333","AZ","85333","=""85333""","1983","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85335","AZ","85335","=""85335""","2004","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85337","AZ","85337","=""85337""","1976","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85338","AZ","85338","=""85338""","2007","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85339","AZ","85339","=""85339""","2006","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85340","AZ","85340","=""85340""","2006","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85343","AZ","85343","=""85343""","N/A","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85345","AZ","85345","=""85345""","1988","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85351","AZ","85351","=""85351""","1972","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85353","AZ","85353","=""85353""","2006","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85354","AZ","85354","=""85354""","2002","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85355","AZ","85355","=""85355""","2006","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85361","AZ","85361","=""85361""","2004","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85363","AZ","85363","=""85363""","1980","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85373","AZ","85373","=""85373""","1981","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85374","AZ","85374","=""85374""","2001","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85375","AZ","85375","=""85375""","1989","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85377","AZ","85377","=""85377""","1987","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85378","AZ","85378","=""85378""","1996","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85379","AZ","85379","=""85379""","2006","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85381","AZ","85381","=""85381""","1994","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85382","AZ","85382","=""85382""","1997","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85383","AZ","85383","=""85383""","2010","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85387","AZ","85387","=""85387""","2010","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85388","AZ","85388","=""85388""","2006","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85390","AZ","85390","=""85390""","1993","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85392","AZ","85392","=""85392""","1999","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85395","AZ","85395","=""85395""","2007","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85396","AZ","85396","=""85396""","2013","2020-2024","2020","Census","Maricopa (County, 2022)"
