"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Median Household Income","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","mhhinc","TimeFrame","GeoVintage","Source","Location"
"Zip Code Tabulation Area","85208","AZ","85208","=""85208""","69390","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85209","AZ","85209","=""85209""","84432","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85210","AZ","85210","=""85210""","61957","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85212","AZ","85212","=""85212""","125902","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85213","AZ","85213","=""85213""","103969","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85215","AZ","85215","=""85215""","98831","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85224","AZ","85224","=""85224""","94516","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85225","AZ","85225","=""85225""","88676","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85226","AZ","85226","=""85226""","114817","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85233","AZ","85233","=""85233""","111160","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85234","AZ","85234","=""85234""","121102","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85236","AZ","85236","=""85236""","N/A","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85248","AZ","85248","=""85248""","94495","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85249","AZ","85249","=""85249""","153633","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85250","AZ","85250","=""85250""","95761","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85251","AZ","85251","=""85251""","92851","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85253","AZ","85253","=""85253""","184979","2020-2024","2020","Census","Maricopa (County, 2022)"
